Constituency Code,Constituency Name,ID,COMPANY,Company type,Note,website,Percentage of constituency's properties in this area
E14000844,North East Hampshire,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,3.3%
E14000844,North East Hampshire,SRN,Southern Water,regional water and sewerage company,,https://www.southernwater.co.uk/,0.3%
E14000844,North East Hampshire,IWN,Independent Water Networks,small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.iwnl.co.uk/,0.0%
E14000845,North East Hertfordshire,AFW,Affinity Water,regional water only company,,https://www.affinitywater.co.uk/,100.0%
E14000845,North East Hertfordshire,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,0.0%
E14000846,North East Somerset,BRL,Bristol Water,regional water only company,,https://www.bristolwater.co.uk/,89.8%
E14000846,North East Somerset,WSX,Wessex Water,regional water and sewerage company,,https://www.wessexwater.co.uk/,10.2%
E14000847,North Herefordshire,WSH,Dŵr Cymru,regional water and sewerage company,,https://www.dwrcymru.com/en,96.8%
E14000847,North Herefordshire,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,3.2%
E14000848,North Norfolk,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,100.0%
E14000849,North Shropshire,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,100.0%
E14000849,North Shropshire,UUW,United Utilities,regional water and sewerage company,,https://www.unitedutilities.com/,0.0%
E14000850,North Somerset,BRL,Bristol Water,regional water only company,,https://www.bristolwater.co.uk/,100.0%
E14000851,North Swindon,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,100.0%
E14000852,North Thanet,SRN,Southern Water,regional water and sewerage company,,https://www.southernwater.co.uk/,58.3%
E14000852,North Thanet,SEW,South East Water,regional water only company,,https://www.southeastwater.co.uk/,41.7%
E14000853,North Tyneside,NES,Northumbrian Water,regional water and sewerage company,,https://www.nwl.co.uk/,100.0%
E14000854,North Warwickshire,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,96.2%
E14000854,North Warwickshire,SSC,South Staffordshire Water,regional water only company,,https://www.south-staffs-water.co.uk/,3.8%
E14000855,North West Cambridgeshire,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,78.7%
E14000855,North West Cambridgeshire,SSC,Cambridge Water (part of South Staffs Water),regional water only company,,https://www.south-staffs-water.co.uk/,21.3%
E14000856,North West Durham,NES,Northumbrian Water,regional water and sewerage company,,https://www.nwl.co.uk/,100.0%
E14000857,North West Hampshire,SRN,Southern Water,regional water and sewerage company,,https://www.southernwater.co.uk/,82.4%
E14000857,North West Hampshire,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,9.4%
